,area_fips,area_title
0,US000,U.S. TOTAL
1,USCMS,U.S. Combined Statistical Areas (combined)
2,USMSA,U.S. Metropolitan Statistical Areas (combined)
3,USNMS,U.S. Nonmetropolitan Area Counties (combined)
4,01000,Alabama -- Statewide
5,01001,"Autauga County, Alabama"
6,01003,"Baldwin County, Alabama"
7,01005,"Barbour County, Alabama"
8,01007,"Bibb County, Alabama"
9,01009,"Blount County, Alabama"
10,01011,"Bullock County, Alabama"
11,01013,"Butler County, Alabama"
12,01015,"Calhoun County, Alabama"
13,01017,"Chambers County, Alabama"
14,01019,"Cherokee County, Alabama"
15,01021,"Chilton County, Alabama"
16,01023,"Choctaw County, Alabama"
17,01025,"Clarke County, Alabama"
18,01027,"Clay County, Alabama"
19,01029,"Cleburne County, Alabama"
20,01031,"Coffee County, Alabama"
21,01033,"Colbert County, Alabama"
22,01035,"Conecuh County, Alabama"
23,01037,"Coosa County, Alabama"
24,01039,"Covington County, Alabama"
25,01041,"Crenshaw County, Alabama"
26,01043,"Cullman County, Alabama"
27,01045,"Dale County, Alabama"
28,01047,"Dallas County, Alabama"
29,01049,"DeKalb County, Alabama"
30,01051,"Elmore County, Alabama"
31,01053,"Escambia County, Alabama"
32,01055,"Etowah County, Alabama"
33,01057,"Fayette County, Alabama"
34,01059,"Franklin County, Alabama"
35,01061,"Geneva County, Alabama"
36,01063,"Greene County, Alabama"
37,01065,"Hale County, Alabama"
38,01067,"Henry County, Alabama"
39,01069,"Houston County, Alabama"
40,01071,"Jackson County, Alabama"
41,01073,"Jefferson County, Alabama"
42,01075,"Lamar County, Alabama"
43,01077,"Lauderdale County, Alabama"
44,01079,"Lawrence County, Alabama"
45,01081,"Lee County, Alabama"
46,01083,"Limestone County, Alabama"
47,01085,"Lowndes County, Alabama"
48,01087,"Macon County, Alabama"
49,01089,"Madison County, Alabama"
50,01091,"Marengo County, Alabama"
51,01093,"Marion County, Alabama"
52,01095,"Marshall County, Alabama"
53,01097,"Mobile County, Alabama"
54,01099,"Monroe County, Alabama"
55,01101,"Montgomery County, Alabama"
56,01103,"Morgan County, Alabama"
57,01105,"Perry County, Alabama"
58,01107,"Pickens County, Alabama"
59,01109,"Pike County, Alabama"
60,01111,"Randolph County, Alabama"
61,01113,"Russell County, Alabama"
62,01115,"St. Clair County, Alabama"
63,01117,"Shelby County, Alabama"
64,01119,"Sumter County, Alabama"
65,01121,"Talladega County, Alabama"
66,01123,"Tallapoosa County, Alabama"
67,01125,"Tuscaloosa County, Alabama"
68,01127,"Walker County, Alabama"
69,01129,"Washington County, Alabama"
70,01131,"Wilcox County, Alabama"
71,01133,"Winston County, Alabama"
72,01996,Overseas Locations -- Alabama
73,01997,"Multicounty, Not Statewide -- Alabama"
