,"Labor Force Data by County, 2000 Annual Averages",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,,,,,,,
1,,State,County,,,,,,,Unemploy-
2,LAUS,FIPS,FIPS,,,,Labor,,,ment Rate
3,Code,Code,Code,County Name/State Abbreviation,Year,,Force,Employed,Unemployed,(%)
4,,,,,,,,,,
5,CN0100100000000,01,001,"Autauga County, AL",2000,,21720,20846,874,4
6,CN0100300000000,01,003,"Baldwin County, AL",2000,,69533,66971,2562,3.7
7,CN0100500000000,01,005,"Barbour County, AL",2000,,11373,10748,625,5.5
8,CN0100700000000,01,007,"Bibb County, AL",2000,,8565,8111,454,5.3
9,CN0100900000000,01,009,"Blount County, AL",2000,,25106,24231,875,3.5
10,CN0101100000000,01,011,"Bullock County, AL",2000,,3971,3635,336,8.5
11,CN0101300000000,01,013,"Butler County, AL",2000,,9156,8445,711,7.8
12,CN0101500000000,01,015,"Calhoun County, AL",2000,,52896,50223,2673,5.1
13,CN0101700000000,01,017,"Chambers County, AL",2000,,17373,16610,763,4.4
14,CN0101900000000,01,019,"Cherokee County, AL",2000,,11304,10797,507,4.5
15,CN0102100000000,01,021,"Chilton County, AL",2000,,19475,18641,834,4.3
16,CN0102300000000,01,023,"Choctaw County, AL",2000,,6184,5781,403,6.5
17,CN0102500000000,01,025,"Clarke County, AL",2000,,11597,10750,847,7.3
18,CN0102700000000,01,027,"Clay County, AL",2000,,6565,6163,402,6.1
19,CN0102900000000,01,029,"Cleburne County, AL",2000,,6958,6676,282,4.1
20,CN0103100000000,01,031,"Coffee County, AL",2000,,19902,18748,1154,5.8
21,CN0103300000000,01,033,"Colbert County, AL",2000,,25950,24511,1439,5.5
22,CN0103500000000,01,035,"Conecuh County, AL",2000,,5483,5127,356,6.5
23,CN0103700000000,01,037,"Coosa County, AL",2000,,5295,5009,286,5.4
24,CN0103900000000,01,039,"Covington County, AL",2000,,17316,16124,1192,6.9
25,CN0104100000000,01,041,"Crenshaw County, AL",2000,,6115,5766,349,5.7
26,CN0104300000000,01,043,"Cullman County, AL",2000,,38647,37053,1594,4.1
27,CN0104500000000,01,045,"Dale County, AL",2000,,20785,19702,1083,5.2
28,CN0104700000000,01,047,"Dallas County, AL",2000,,17823,16389,1434,8
29,CN0104900000000,01,049,"DeKalb County, AL",2000,,32308,31009,1299,4
30,CN0105100000000,01,051,"Elmore County, AL",2000,,30995,29767,1228,4
31,CN0105300000000,01,053,"Escambia County, AL",2000,,16092,15257,835,5.2
32,CN0105500000000,01,055,"Etowah County, AL",2000,,48177,45380,2797,5.8
33,CN0105700000000,01,057,"Fayette County, AL",2000,,8276,7792,484,5.8
34,CN0105900000000,01,059,"Franklin County, AL",2000,,14629,13674,955,6.5
35,CN0106100000000,01,061,"Geneva County, AL",2000,,12180,11562,618,5.1
36,CN0106300000000,01,063,"Greene County, AL",2000,,3510,3271,239,6.8
37,CN0106500000000,01,065,"Hale County, AL",2000,,6976,6557,419,6
38,CN0106700000000,01,067,"Henry County, AL",2000,,7634,7259,375,4.9
39,CN0106900000000,01,069,"Houston County, AL",2000,,45170,43186,1984,4.4
40,CN0107100000000,01,071,"Jackson County, AL",2000,,27899,26454,1445,5.2
41,CN0107300000000,01,073,"Jefferson County, AL",2000,,329015,315985,13030,4
42,CN0107500000000,01,075,"Lamar County, AL",2000,,7446,6929,517,6.9
43,CN0107700000000,01,077,"Lauderdale County, AL",2000,,43446,41285,2161,5
44,CN0107900000000,01,079,"Lawrence County, AL",2000,,16573,15749,824,5
45,CN0108100000000,01,081,"Lee County, AL",2000,,58023,55711,2312,4
46,CN0108300000000,01,083,"Limestone County, AL",2000,,32829,31583,1246,3.8
47,CN0108500000000,01,085,"Lowndes County, AL",2000,,5052,4704,348,6.9
48,CN0108700000000,01,087,"Macon County, AL",2000,,9080,8556,524,5.8
49,CN0108900000000,01,089,"Madison County, AL",2000,,148675,143415,5260,3.5
50,CN0109100000000,01,091,"Marengo County, AL",2000,,9012,8543,469,5.2
51,CN0109300000000,01,093,"Marion County, AL",2000,,14205,13260,945,6.7
52,CN0109500000000,01,095,"Marshall County, AL",2000,,40543,38605,1938,4.8
53,CN0109700000000,01,097,"Mobile County, AL",2000,,184951,175846,9105,4.9
54,CN0109900000000,01,099,"Monroe County, AL",2000,,10273,9612,661,6.4
55,CN0110100000000,01,101,"Montgomery County, AL",2000,,105729,101315,4414,4.2
56,CN0110300000000,01,103,"Morgan County, AL",2000,,56248,53884,2364,4.2
57,CN0110500000000,01,105,"Perry County, AL",2000,,4103,3725,378,9.2
58,CN0110700000000,01,107,"Pickens County, AL",2000,,8597,7952,645,7.5
59,CN0110900000000,01,109,"Pike County, AL",2000,,14060,13285,775,5.5
60,CN0111100000000,01,111,"Randolph County, AL",2000,,9961,9478,483,4.8
61,CN0111300000000,01,113,"Russell County, AL",2000,,21998,20984,1014,4.6
62,CN0111500000000,01,115,"St. Clair County, AL",2000,,31353,30179,1174,3.7
63,CN0111700000000,01,117,"Shelby County, AL",2000,,82280,80035,2245,2.7
64,CN0111900000000,01,119,"Sumter County, AL",2000,,5381,4893,488,9.1
65,CN0112100000000,01,121,"Talladega County, AL",2000,,35593,33753,1840,5.2
66,CN0112300000000,01,123,"Tallapoosa County, AL",2000,,19358,18412,946,4.9
67,CN0112500000000,01,125,"Tuscaloosa County, AL",2000,,81655,78451,3204,3.9
68,CN0112700000000,01,127,"Walker County, AL",2000,,31502,29674,1828,5.8
69,CN0112900000000,01,129,"Washington County, AL",2000,,7728,7200,528,6.8
70,CN0113100000000,01,131,"Wilcox County, AL",2000,,3939,3595,344,8.7
71,CN0113300000000,01,133,"Winston County, AL",2000,,11687,10776,911,7.8
72,CN0201300000000,02,013,"Aleutians East Borough, AK",2000,,940,858,82,8.7
73,CN0201600000000,02,016,"Aleutians West Census Area, AK",2000,,2735,2592,143,5.2
74,CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2000,,140602,133453,7149,5.1
75,CN0205000000000,02,050,"Bethel Census Area, AK",2000,,6401,5824,577,9
76,CN0206000000000,02,060,"Bristol Bay Borough, AK",2000,,925,866,59,6.4
77,CN0206800000000,02,068,"Denali Borough, AK",2000,,1342,1244,98,7.3
78,CN0207000000000,02,070,"Dillingham Census Area, AK",2000,,1963,1818,145,7.4
79,CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2000,,41013,38486,2527,6.2
80,CN0210000000000,02,100,"Haines Borough, AK",2000,,1397,1284,113,8.1
81,CN0211000000000,02,110,"Juneau Borough/city, AK",2000,,18021,17177,844,4.7
82,CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2000,,24598,22567,2031,8.3
83,CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2000,,8294,7772,522,6.3
84,CN0215000000000,02,150,"Kodiak Island Borough, AK",2000,,6544,5996,548,8.4
85,CN0215800000000,02,158,"Kusilvak Census Area, AK",2000,,2237,1894,343,15.3
86,CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2000,,1036,982,54,5.2
87,CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2000,,28873,26751,2122,7.3
88,CN0218000000000,02,180,"Nome Census Area, AK",2000,,3703,3343,360,9.7
89,CN0218500000000,02,185,"North Slope Borough, AK",2000,,3404,3116,288,8.5
90,CN0218800000000,02,188,"Northwest Arctic Borough, AK",2000,,2946,2678,268,9.1
91,CN0220100000000,02,201,"Prince of Wales-Outer Ketchikan Census Area, AK",2000,,2667,2286,381,14.3
92,CN0222000000000,02,220,"Sitka Borough/city, AK",2000,,4454,4239,215,4.8
93,CN0223200000000,02,232,"Skagway-Hoonah-Angoon Census Area, AK",2000,,1831,1649,182,9.9
94,CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2000,,2270,1988,282,12.4
95,CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2000,,5224,4824,400,7.7
96,CN0228000000000,02,280,"Wrangell-Petersburg Census Area, AK",2000,,3078,2777,301,9.8
